,tconst,primaryTitle,startYear,genres,averageRating,budget,ww_gross,budget1mil,ww_gross1mil,numeratorROI,ROI,genre_list,History,Mystery,Western,Fantasy,Drama,Horror,Documentary,Comedy,Thriller,Music,Sport,Biography,Romance,Sci-Fi,Crime,Family,Adventure,Action,Musical,Animation,War,genre_count
725,tt1600195,Abduction,2011,"Action,Mystery,Thriller",5.1,35000000.0,82087155.0,35.0,82.09,47087155.0,134.53472857142856,Action,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,3
725,tt1600195,Abduction,2011,"Action,Mystery,Thriller",5.1,35000000.0,82087155.0,35.0,82.09,47087155.0,134.53472857142856,Mystery,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,3
725,tt1600195,Abduction,2011,"Action,Mystery,Thriller",5.1,35000000.0,82087155.0,35.0,82.09,47087155.0,134.53472857142856,Thriller,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,3
726,tt1600196,The Drop,2014,"Crime,Drama,Thriller",7.1,12600000.0,18658381.0,12.6,18.66,6058381.0,48.082388888888886,Crime,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,3
726,tt1600196,The Drop,2014,"Crime,Drama,Thriller",7.1,12600000.0,18658381.0,12.6,18.66,6058381.0,48.082388888888886,Drama,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,3
726,tt1600196,The Drop,2014,"Crime,Drama,Thriller",7.1,12600000.0,18658381.0,12.6,18.66,6058381.0,48.082388888888886,Thriller,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,3
727,tt1600207,The Eye of the Storm,2011,Drama,6.1,10650000.0,2104689.0,10.65,2.1,-8545311.0,-80.23766197183099,Drama,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
728,tt1601913,The Grey,2011,"Action,Adventure,Drama",6.8,25000000.0,79781695.0,25.0,79.78,54781695.0,219.12678,Action,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,3
728,tt1601913,The Grey,2011,"Action,Adventure,Drama",6.8,25000000.0,79781695.0,25.0,79.78,54781695.0,219.12678,Adventure,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,3
728,tt1601913,The Grey,2011,"Action,Adventure,Drama",6.8,25000000.0,79781695.0,25.0,79.78,54781695.0,219.12678,Drama,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,3
729,tt1602098,Albert Nobbs,2011,"Drama,Romance",6.7,8000000.0,7532259.0,8.0,7.53,-467741.0,-5.8467625000000005,Drama,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
729,tt1602098,Albert Nobbs,2011,"Drama,Romance",6.7,8000000.0,7532259.0,8.0,7.53,-467741.0,-5.8467625000000005,Romance,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
730,tt1602472,2 Days in New York,2012,"Comedy,Drama,Romance",6.0,8000000.0,4058113.0,8.0,4.06,-3941887.0,-49.2735875,Comedy,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,3
730,tt1602472,2 Days in New York,2012,"Comedy,Drama,Romance",6.0,8000000.0,4058113.0,8.0,4.06,-3941887.0,-49.2735875,Drama,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,3
730,tt1602472,2 Days in New York,2012,"Comedy,Drama,Romance",6.0,8000000.0,4058113.0,8.0,4.06,-3941887.0,-49.2735875,Romance,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,3
731,tt1602613,Only God Forgives,2013,"Action,Crime,Drama",5.7,4800000.0,10635126.0,4.8,10.64,5835126.0,121.56512500000001,Action,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,3
